SPY.Open,SPY.High,SPY.Low,SPY.Close,SPY.Volume,SPY.Adjusted
100.610001,100.75,98.949997,99.559998,48628300,72.795601
99.959999,101.699997,99.800003,101.660004,36326300,74.331093
102.07,102.18,101.230003,101.660004,36801800,74.331093
101.290001,102.139999,101,101.57,35521000,74.265244
101.639999,101.730003,99.839996,100.019997,43551700,73.131927
100.389999,100.5,99.419998,99.440002,41545000,72.970512
99.449997,99.660004,97.919998,98.419998,34237500,72.221985
98.220001,99.089996,98.019997,98.519997,36213600,72.29538
98.529999,99.440002,97.529999,97.529999,47743400,71.568893
97.779999,98.980003,96.959999,98.800003,33477300,72.500847
98.75,99.190002,97.580002,97.660004,54208800,71.664337
98.220001,98.669998,97.470001,97.629997,33349000,71.642334
97.25,98.849998,96.43,98.529999,51322800,72.302719
98.769997,99.790001,98.57,99.769997,34662100,73.212654
99.07,99.849998,97.900002,98.739998,30792800,72.456848
99.650002,100.900002,99.650002,100.699997,31391100,73.895088
100.5,101.290001,100.169998,101.150002,30952500,74.225327
100.919998,101.400002,100.029999,100.580002,36528500,73.807037
99.839996,100.040001,98.629997,99.300003,49777700,72.867752
99.389999,100.449997,99.389999,100.239998,39976300,73.557541
101.199997,101.900002,100.449997,100.730003,42114900,73.917137
101.379997,101.459999,99.949997,100.510002,42573600,73.755669
100.809998,100.870003,99.230003,99.919998,39894200,73.322731
99.150002,99.879997,98.160004,98.5,52253500,72.280701
99.019997,99.800003,98.459999,99.510002,35698100,73.021873
99.449997,99.489998,97.849998,98.279999,34786000,72.119263
98.690002,99.410004,97.919998,99.169998,49968300,72.772392
99.209999,99.449997,98.279999,99.239998,37275400,72.8237
99.989998,100.339996,98.370003,98.489998,40896200,72.273376
98.660004,100.290001,98.040001,100.230003,43241100,73.550201
100.370003,100.980003,99.669998,99.860001,34382800,73.278709
100.139999,100.260002,98.68,99.400002,53472100,72.941132
99.599998,99.75,98.93,99.160004,28363300,72.765022
99.980003,100.910004,99.169998,99.389999,54937200,72.933777
99.190002,99.529999,98.239998,98.510002,49321000,72.288055
98.309998,99,97,98.510002,55214100,72.288055
98.410004,98.760002,96.339996,96.419998,61415600,70.754387
96.690002,98.059998,96.419998,96.980003,50096900,71.165314
97.169998,98.07,96.760002,98,43427400,71.913788
98.32,98.550003,97.760002,98.279999,27357300,72.119263
98.260002,99.040001,97.839996,98.650002,34631400,72.390785
98.709999,99.589996,98.419998,99.550003,43285600,73.051231
99.82,99.849998,98.529999,99.040001,36152000,72.676964
99.099998,99.75,98.449997,99.309998,35525100,72.875122
99.360001,99.790001,99.120003,99.620003,12567000,73.102577
99.93,100.599998,99.739998,100.480003,22873800,73.733665
